"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6934","TC-2: TD-03 - Missing username: Input ""@company.com""","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","13148","TC-1: TD-04 - Number too long: Input ""12345678901234567890""","Negative Frontend Validation of Form","2026-08-10","failed","2026-08-10","","Negative Frontend Validation of ""Phone Number"" Field","",""
"","7564","TC-2: TD-06 - Multiple @ symbols: Input ""user@@company.com""","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","6232","TC-10: Negative Sign-Up: Password lacks an uppercase letter","Registration / Sign-Up Validation","2026-08-10","passed","2026-08-10","","","",""
"","13026","TC-4: TD-01 - Switch to US Dollar","Dynamic Currency Conversion Validation Across All Tables","2026-08-10","skipped","2026-08-10","","","",""
"","20858","TC-1: TD-02 - Special characters: Input ""!@#$%^&*""","Negative Frontend Validation of Form","2026-08-10","failed","2026-08-10","","Negative Frontend Validation of ""Phone Number"" Field","",""
"","9610","TC-2: TD-01 - Missing @ symbol: Input ""user.company.com""","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","14625","TC-6: Verify the system prevents sending an empty message","Feature Demo Widget - State Management","2026-08-10","passed","2026-08-10","","","",""
"","18121","TC-2: TD-05 - Missing Top-Level Domain: Input ""user@company""","Negative Frontend Validation of Form","2026-08-10","failed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","19924","TC-1: TD-03 - Number too short: Input ""123""","Negative Frontend Validation of Form","2026-08-10","failed","2026-08-10","","Negative Frontend Validation of ""Phone Number"" Field","",""
"","11874","TC-13: Dynamically extract and verify the first 3 Industry filters","Customer Stories - Data-Driven Dropdown Filter Validation","2026-08-10","passed","2026-08-10","","","",""
"","2968","TC-1: TD-05 - Empty field: Input """"","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Phone Number"" Field","",""
"","6807","TC-8: Negative Sign-Up: Empty mandatory fields and unaccepted terms validation","Registration / Sign-Up Validation","2026-08-10","passed","2026-08-10","","","",""
"","6230","TC-18: Verify Twitter link in the footer","Header and Footer","2026-08-10","passed","2026-08-10","","","",""
"","4426","TC-15: Verify ""No results"" message for invalid search query","Frontend Search Validation on the Solutions page","2026-08-10","passed","2026-08-10","","","",""
"","5150","TC-3: Verify successful search of a use case card by exact title","Frontend Search Validation on the Solutions page","2026-08-10","passed","2026-08-10","","","",""
"","24143","TC-7: Verify selecting different AI models updates the active highlight state","Feature Demo Widget - State Management","2026-08-10","passed","2026-08-10","","","",""
"","12878","TC-16: Verify navigation to the Sign Up page via header button","Header and Footer","2026-08-10","passed","2026-08-10","","","",""
"","5292","TC-2: TD-04 - Empty field: Input """"","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","4357","TC-20: Verify copyright year matches the current calendar year","Header and Footer","2026-08-10","passed","2026-08-10","","","",""
"","15723","TC-1: TD-01 - Letters: Input ""abcXYZ""","Negative Frontend Validation of Form","2026-08-10","failed","2026-08-10","","Negative Frontend Validation of ""Phone Number"" Field","",""
"","28804","TC-5: Local Context Preservation Upon Tab Switching","Feature Demo Widget - State Management","2026-08-10","failed","2026-08-10","","","",""
"","5480","TC-2: TD-02 - Missing domain name: Input ""user@""","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","14983","TC-4: TD-02 - Switch to Euro","Dynamic Currency Conversion Validation Across All Tables","2026-08-10","passed","2026-08-10","","","",""
"","7949","TC-11: Negative Sign-Up: Password lacks a numeric character","Registration / Sign-Up Validation","2026-08-10","passed","2026-08-10","","","",""
"","5715","TC-14: Verify ""Clear filters"" resets the grid to its default state","Customer Stories - Data-Driven Dropdown Filter Validation","2026-08-10","passed","2026-08-10","","","",""
"","6469","TC-2: TD-07 - Double dots in domain: Input ""user@company..com""","Negative Frontend Validation of Form","2026-08-10","passed","2026-08-10","","Negative Frontend Validation of ""Business email"" Field","",""
"","25131","TC-12: Verify dynamic industry category filters isolate matching templates","Templates Catalog - Dynamic Filter Validation","2026-08-10","broken","2026-08-10","","","",""
"","3437","TC-17: Verify LinkedIn link in the footer","Header and Footer","2026-08-10","passed","2026-08-10","","","",""
"","4879","TC-19: Verify Facebook link in the footer","Header and Footer","2026-08-10","passed","2026-08-10","","","",""
"","4243","TC-9: Negative Sign-Up: Password is exactly 11 characters long","Registration / Sign-Up Validation","2026-08-10","passed","2026-08-10","","","",""
